Location,Nizamabad,Adilabad,"Kuda, warangal","Mee-Seva, Warangal",Karimnagar,Khammam
Jan,61,66,117,94,111,64
Feb,61,67,91,96,87,68
March,66,70,80,79,89,71
April,70,74,82,83,100,77
May,54,74,84,81,100,77
June,64,69,86,84,100,83
July,59,64,73,70,89,75
Aug,60,64,79,73,91,79
Sep,64,62,81,80,100,84
Oct,48,67,86,89,98,85
Nov,60,75,96,94,106,92
DEC,62,81,86,88,100,88
