Location,Adilabad,Nizamabad,"Kuda, warangal","Mee-Seva, Warangal",Karimnagar,Khammam
Jan-20,78,64,92,89,111,88
Feb-20,82,64,88,88,114,84
Mar-20,71,66,65,74,110,83
Apr-20,52,38,38,41,39,80
May-20,-,50,41,65,72,63
Jun-20,74,52,42,58,58,48
Jul-20,74,63,57,67,114,70
Aug-20,72,60,67,61,70,37
Sep-20,72,62,51,55,96,52
Oct-20,72,62,59,61,137,62
Nov-20,-,63,85,92,114,83
Dec-20,-,81,59,91,108,95
