Location,Nizamabad,Adilabad,"Kuda, warangal","Mee-Seva, Warangal",Karimnagar,Khammam
Jan-21,68.59259259,-,78.22222222,81.25925926,109.625,99.77777778
Feb-21,68,62,85,88,110,84
Mar-21,66,73,57,75,69,68
Apr-21,69,74,58,71,73,54
May-21,41,67,43,51,68,-
Jun-21,-,-,44,81,72,88
Jul-21,54,-,86,57,57,69
Aug-21,45,-,40,60,64,67
Sep-21,43,-,63.85475305,55.13437612,65.52192329,84.93873676
Oct-21,59,-,49,64,68,61
Nov-21,66,-,58,65,73,86
Dec-21,56.74074074,-,55,69,82,78
